member_id,total_transactions,unique_items,transaction_days,avg_items_per_transaction,anomaly_vote,anomaly_weighted,anomaly_score
1808,10,10,4,2.5,0,0,0.09253209955261173
2552,13,11,5,2.6,0,0,0.1321407199569061
2300,10,10,4,2.5,0,0,0.12131498734612535
1187,7,6,3,2.3333333333333335,0,0,0.4227839338070772
3037,5,5,2,2.5,0,0,0.19454587458218073
4941,26,22,9,2.888888888888889,1,1,0.5722790540327664
4501,13,12,5,2.6,0,0,0.14471982781173084
3803,19,18,6,3.1666666666666665,0,0,0.3135712136578368
2762,9,8,4,2.25,0,0,0.03905762333675527
4119,9,8,4,2.25,0,0,0.10968458190274673
1340,14,10,6,2.3333333333333335,0,0,0.40072575352950396
2193,27,21,11,2.4545454545454546,1,1,0.6445721344054643
1997,21,18,6,3.5,0,0,0.32549549220072743
4546,11,11,4,2.75,0,0,0.11782417215266595
4736,11,10,4,2.75,0,0,0.09656299836674638
1959,19,17,7,2.7142857142857144,0,0,0.22296170724784972
1974,5,5,1,5.0,1,1,0.7017394126540681
2421,21,18,7,3.0,0,0,0.27553068374182277
1513,10,9,3,3.3333333333333335,0,0,0.19009540860818305
1905,26,20,9,2.888888888888889,0,0,0.4771653368786844
2810,17,14,6,2.8333333333333335,0,0,0.12507917319659742
2867,15,12,5,3.0,0,0,0.14640733156339017
3962,14,12,5,2.8,0,0,0.11882885488907295
1088,9,9,3,3.0,0,0,0.11117958491196217
4976,7,7,2,3.5,0,0,0.33734268538478934
4056,16,13,6,2.6666666666666665,0,0,0.10667828360193303
3611,7,7,2,3.5,0,0,0.2518018282085615
1420,11,11,4,2.75,0,0,0.14114215232596242
4286,13,12,4,3.25,0,0,0.4249378970999458
4918,5,5,1,5.0,1,1,0.6107149545122571
4783,21,18,7,3.0,0,0,0.35404238188156784
3709,21,16,5,4.2,1,1,0.6179204504410215
4289,9,8,3,3.0,0,0,0.1184248770463499
1559,7,7,2,3.5,0,0,0.44974375286588003
2900,12,10,4,3.0,0,0,0.3069939426289973
3527,12,10,3,4.0,0,0,0.2779302622002988
1495,9,9,3,3.0,0,0,0.10892388041805634
3558,17,16,4,4.25,0,0,0.4611487964929917
3128,17,16,4,4.25,0,0,0.44848562910775147
1863,14,11,4,3.5,0,0,0.13648982069698468
3841,17,16,6,2.8333333333333335,0,0,0.27995104521281206
3903,19,15,6,3.1666666666666665,0,0,0.26997031706788405
2658,7,7,2,3.5,0,0,0.2855873193311371
4272,27,17,9,3.0,1,1,0.6244563312471385
1120,17,15,6,2.8333333333333335,0,0,0.15087186206623793
2676,14,14,5,2.8,0,0,0.27772500035093894
1697,15,14,6,2.5,0,0,0.14482905628284923
2507,13,10,4,3.25,0,0,0.14606001403795857
4620,9,9,3,3.0,0,0,0.12984896236230173
3365,15,13,6,2.5,0,0,0.18479611248911484
2978,19,18,5,3.8,0,0,0.378015508024133
2910,15,14,5,3.0,0,0,0.12051684809927339
1061,14,14,5,2.8,0,0,0.1926852380138735
3276,15,11,4,3.75,0,0,0.2807666701725569
1326,11,11,3,3.6666666666666665,0,0,0.2596190283771163
3023,9,9,3,3.0,0,0,0.15679103433019412
2185,11,9,4,2.75,0,0,0.2977192660028151
3552,13,13,5,2.6,0,0,0.22042135145748773
1967,15,13,6,2.5,0,0,0.17343013205728086
4708,14,14,5,2.8,0,0,0.2158252225710385
2874,16,13,4,4.0,0,0,0.2990018477215249
4177,10,10,3,3.3333333333333335,0,0,0.18304901180694869
1663,13,9,4,3.25,0,0,0.2770516520086633
2632,24,20,9,2.6666666666666665,0,0,0.42516747307042807
1377,11,11,3,3.6666666666666665,0,0,0.34597776415756726
4162,14,12,4,3.5,0,0,0.18673497721952467
2270,22,17,6,3.6666666666666665,0,0,0.45531689839703543
4829,5,3,1,5.0,1,1,0.7859778351669527
3811,21,13,7,3.0,0,0,0.3266880116241654
4766,17,14,4,4.25,0,0,0.3901347550107577
2436,11,10,4,2.75,0,0,0.057646183513380994
3860,7,7,2,3.5,0,0,0.27394444257619144
4875,29,25,8,3.625,1,1,0.7521262066939509
1587,13,12,5,2.6,0,0,0.0810212520387434
4038,14,13,3,4.666666666666667,0,0,0.41699867541469127
4750,11,8,4,2.75,0,0,0.08368455474490809
1199,13,12,4,3.25,0,0,0.1574506262384476
1603,15,11,5,3.0,0,0,0.21425085633238106
3111,16,16,6,2.6666666666666665,0,0,0.2984843010698261
3894,12,11,4,3.0,0,0,0.20184440064436293
1456,18,14,6,3.0,0,0,0.39671088123628584
2022,23,20,6,3.8333333333333335,0,0,0.47576790387646284
2505,11,10,4,2.75,0,0,0.11761262952628238
4851,14,13,5,2.8,0,0,0.10682567753911743
4293,22,18,7,3.142857142857143,0,0,0.3256172713986139
2775,10,10,4,2.5,0,0,0.10508435335921078
3693,8,6,3,2.6666666666666665,0,0,0.1564942769544431
1202,10,9,4,2.5,0,0,0.056359081941738796
3699,9,9,3,3.0,0,0,0.26490720345700547
4152,16,15,5,3.2,0,0,0.23971321369694154
4155,17,16,6,2.8333333333333335,0,0,0.16408654876172307
4010,6,5,2,3.0,0,0,0.3137071063112888
4389,17,16,7,2.4285714285714284,0,0,0.25871378309823756
3746,13,11,5,2.6,0,0,0.09159623174523518
2560,24,20,6,4.0,0,1,0.5148618905828335
1503,9,9,3,3.0,0,0,0.19341940567338298
2555,16,15,7,2.2857142857142856,0,0,0.18621809881618065
3645,11,9,4,2.75,0,0,0.33258611585253667
3886,10,8,3,3.3333333333333335,0,0,0.18086219728755656
2932,17,12,4,4.25,1,1,0.6186952458123501
1711,19,14,8,2.375,0,0,0.2996545709261457
4291,16,11,6,2.6666666666666665,0,0,0.23551474378276238
1143,12,9,5,2.4,0,0,0.2434481817046874
4564,17,16,6,2.8333333333333335,0,0,0.21939450535611862
3337,16,11,5,3.2,0,0,0.28422821122019876
4931,14,14,5,2.8,0,0,0.1992824301852084
2623,9,8,3,3.0,0,0,0.19947875384227295
4581,6,6,2,3.0,0,0,0.1283571259455984
2635,6,6,2,3.0,0,0,0.16025955580214904
1095,8,8,3,2.6666666666666665,0,0,0.16706453448051575
2990,24,20,9,2.6666666666666665,0,0,0.47116663837806766
2426,17,14,7,2.4285714285714284,0,0,0.2339717917527865
4555,14,11,5,2.8,0,0,0.09903789874755119
3635,21,18,7,3.0,0,0,0.32798308381959757
3058,8,6,3,2.6666666666666665,0,0,0.14075378618524673
4391,14,14,6,2.3333333333333335,0,0,0.23212426481855597
1306,9,6,3,3.0,0,0,0.17070708882359467
1024,4,4,1,4.0,0,0,0.34962092857369537
1295,8,8,3,2.6666666666666665,0,0,0.10916094705867922
1661,17,14,6,2.8333333333333335,0,0,0.2264956254318302
4591,9,9,3,3.0,0,0,0.10497012677052092
3169,6,6,2,3.0,0,0,0.2858674366300667
3915,31,22,10,3.1,1,1,0.7526182075426299
1127,12,11,4,3.0,0,0,0.10444424552155607
4828,24,19,7,3.4285714285714284,0,0,0.47632038108536373
3683,14,14,5,2.8,0,0,0.19943061654465707
1971,8,7,3,2.6666666666666665,0,0,0.09186678603601735
3014,17,14,5,3.4,0,0,0.2144133714472801
3779,15,13,6,2.5,0,0,0.10384372032546174
2489,10,9,4,2.5,0,0,0.14985512240885424
3564,8,8,3,2.6666666666666665,0,0,0.3814207297315379
4092,10,9,4,2.5,0,0,0.06515043458540652
3221,23,18,9,2.5555555555555554,1,1,0.6234695630123245
1279,17,15,6,2.8333333333333335,0,0,0.13636850772214001
2581,12,11,5,2.4,0,0,0.10579943981496698
2295,10,8,4,2.5,0,0,0.23855906175921415
4760,18,16,4,4.5,0,0,0.4598125856578583
3649,17,12,7,2.4285714285714284,0,0,0.2556413463349387
1075,11,10,4,2.75,0,0,0.09915340898749865
3987,11,11,4,2.75,0,0,0.12765408879017134
4106,13,12,5,2.6,0,0,0.08290392158277794
4338,28,22,11,2.5454545454545454,1,1,0.732609484924554
4166,14,13,4,3.5,0,0,0.24779464830075382
1211,16,13,6,2.6666666666666665,0,0,0.3732156551894608
3954,7,7,2,3.5,0,0,0.3289508764144033
3928,10,9,3,3.3333333333333335,0,0,0.2636440001440421
3827,17,16,6,2.8333333333333335,0,0,0.18703478962411216
4699,18,17,6,3.0,0,0,0.4568225319549768
4747,16,13,5,3.2,0,0,0.1250462165388345
3028,15,14,6,2.5,0,0,0.1286116138354434
2851,29,22,9,3.2222222222222223,1,1,0.6327072811625838
4417,15,13,4,3.75,0,0,0.3433311584559176
3822,19,18,5,3.8,0,0,0.3492164501356636
2288,12,12,4,3.0,0,0,0.2123971577843651
2184,24,19,8,3.0,0,0,0.410598062326736
4554,9,8,4,2.25,0,0,0.042576224359564215
3361,22,22,9,2.4444444444444446,1,1,0.6422078308155522
2999,8,8,3,2.6666666666666665,0,0,0.08053994144902558
2614,2,2,1,2.0,0,0,0.2211173225478523
4064,6,5,3,2.0,0,0,0.18586463418136312
3567,5,5,2,2.5,0,0,0.11543693068806721
2587,13,13,5,2.6,0,0,0.2824531034974496
3783,23,21,7,3.2857142857142856,0,0,0.4507064294546888
1923,12,10,6,2.0,0,0,0.19720095143303631
4835,14,12,6,2.3333333333333335,0,0,0.16436583883256495
1514,10,9,5,2.0,0,0,0.12622779410151372
3154,11,11,5,2.2,0,0,0.23512526652294932
1313,2,2,1,2.0,0,0,0.2211173225478523
2794,18,15,7,2.5714285714285716,0,0,0.40652745298735876
2359,13,11,5,2.6,0,0,0.07972125163699588
2238,13,9,4,3.25,0,0,0.20043607875110656
3795,8,7,3,2.6666666666666665,0,0,0.06375623310617869
3724,6,6,3,2.0,0,0,0.1452848679196358
1152,8,7,4,2.0,0,0,0.13943870238646278
4559,10,8,4,2.5,0,0,0.07475695521988875
3922,18,14,5,3.6,0,0,0.34164735937129914
1709,4,4,2,2.0,0,0,0.14135572857382162
2219,6,5,3,2.0,0,0,0.16014124579727104
2206,7,7,3,2.3333333333333335,0,0,0.1832180218370197
1752,10,8,5,2.0,0,0,0.3057693004849092
3942,23,18,8,2.875,0,0,0.37645063538495177
3296,14,13,5,2.8,0,0,0.18434041449139618
2257,8,8,4,2.0,0,0,0.16812174071761565
4313,10,10,4,2.5,0,0,0.052551214191614265
2001,20,16,7,2.857142857142857,0,0,0.29198902146381484
2449,8,7,4,2.0,0,0,0.08161670674478706
4914,10,8,4,2.5,0,0,0.38359938588448567
2764,13,11,6,2.1666666666666665,0,0,0.14101291504247934
4187,21,20,8,2.625,0,0,0.39445125868851844
1392,6,6,3,2.0,0,0,0.10105316509373286
3427,9,9,4,2.25,0,0,0.06696160259861689
1411,4,4,2,2.0,0,0,0.18428024449060307
3390,11,11,5,2.2,0,0,0.24688559900825655
4787,12,11,6,2.0,0,0,0.16136127671278797
3310,11,11,4,2.75,0,0,0.15290417110503218
1782,13,11,6,2.1666666666666665,0,0,0.3253642343899764
3375,7,7,3,2.3333333333333335,0,0,0.1681349101591487
2760,23,18,9,2.5555555555555554,0,0,0.43626927392359227
4249,11,9,5,2.2,0,0,0.10969184452223228
2904,10,9,4,2.5,0,0,0.12210836633466111
4090,6,6,3,2.0,0,0,0.09851635568429558
3060,7,7,3,2.3333333333333335,0,0,0.0315070341206078
3768,16,16,7,2.2857142857142856,0,0,0.3396486220116417
1232,7,7,3,2.3333333333333335,0,0,0.07013780237133276
1360,16,16,5,3.2,0,0,0.3632950865378472
1107,20,14,8,2.5,0,0,0.3292642223303464
